name,smiles,formula,molecular_weight,log_p,fragneg,cas,dtxsid
1-Hexadecanol,CCCCCCCCCCCCCCCCO,C16H34O,242.44,7.679,"239.23804,65.8575197889182;41.03967,19.8416886543536;43.01894,100;53.03967,18.0211081794195;55.01894,37.2031662269129;57.03459,41.9261213720317;57.07097,41.1609498680739;59.05024,20.1583113456464;67.05532,33.6147757255937;71.08662,60.8970976253298;99.11792,24.9076517150396;111.11792,18.8390501319261;113.13357,27.0184696569921;125.13357,27.8891820580475;127.11284,17.598944591029;127.14922,86.5699208443272;139.14922,27.2823218997362;141.12849,23.3245382585752;141.16487,19.8944591029024;153.16487,20.3957783641161;167.18052,31.2928759894459;169.15979,31.1609498680739;169.19617,16.7810026385224;181.19617,24.8548812664908;183.17544,19.2084432717678;183.21182,16.3324538258575;209.22747,21.820580474934;211.20674,20.7651715039578;211.24312,18.4696569920844;223.24312,45.2242744063325",36653-82-4,DTXSID4027991
Iprodione,CC(C)NC(=O)N1CC(=O)N(C1=O)C2=CC(=CC(=C2)Cl)Cl,C13H13Cl2N3O3,330.16,1.627,"56.01419,70.9724950884086;141.06695,86.3150785854617;41.99854,100;81.99345,16.0609037328094;84.0091,6.96218074656189;84.04549,10.7011296660118;99.02,7.72347740667976;99.05639,17.6264734774067;113.07204,6.92534381139489;159.97263,34.301326129666;187.96754,7.34896856581532;242.97336,21.2242141453831;300.03121,11.7018664047151;34.9694,11.6404715127701;42.03492,2.81802554027505;185.95189,3.05132612966601",36734-19-7,DTXSID3024154
CP-728663 (pharma),CCC1CCC(C(N1)C2=CC=CC=C2)NCC3=CC4=C(C=C3OC)C5CC5C(=O)N4C,C26H33N3O2,419.6,1.933,"386.22379,37.31;77.03967,45.75;82.06622,2.02;91.05532,16.58;199.08769,4.48;200.0717,34.13;201.13972,37.95;203.15537,46.28;215.0826,26.16;216.103,2.06;229.09825,1.95;231.1139,3.07;237.16085,3.13;313.19215,2.26;315.2078,3.13;358.19249,4.24;360.20814,2.62;368.21322,2.05;374.1874,3.93;388.23944,3.44;390.2187,4.98;390.25509,6.52;400.23944,4.67;402.2187,21.69;416.23435,67.43;119.06147,40.5;121.07712,13.9;123.09277,41.11;125.10842,71.35;127.12407,68.5;146.06114,27.98;146.09752,37.12;148.07679,14.94;173.10842,18.87;175.12407,14.2;186.05605,27.15;186.12882,22.7;187.12407,100;195.09277,22.25;199.12407,22.87;213.06695,24.75;217.17102,15.27;229.17102,15.2;310.19249,17.19;324.17175,12.74;372.20814,12.36;400.20305,16.76",368832-42-2,DTXSID1047283
3-Phenoxybenzoic acid,C1=CC=C(C=C1)OC2=CC=CC(=C2)C(=O)O,C13H10O3,214.22,1.485,"169.06589,100;51.02402,13.0365839845962;63.02402,29.0689772341148;93.03459,56.6315551025031;117.03459,38.7133310680711;137.02442,12.5552157662249",3739-38-6,DTXSID1038321
Nonafluoro-1-butanesulfonic Acid,C(C(C(F)(F)S(=O)(=O)O)(F)F)(C(F)(F)F)(F)F,C4HF9O3S,300.1,2.808,"218.98618,87.4172185430463;18.99895,100",375-73-5,DTXSID3037707
Perfluoroheptanoic acid,C(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,C7HF13O2,364.06,5.024,"318.97979,100",375-85-9,DTXSID1037303
Perfluorononanoic acid,C(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,C9HF17O2,464.08,6.786,"418.9734,100",375-95-1,DTXSID8031863
FD&C Blue no. 1,CCN(CC1=CC(=CC=C1)S(=O)(=O)[O-])C2=CC=C(C=C2)C(=C3C=CC(=[N+](CC)CC4=CC(=CC=C4)S(=O)(=O)[O-])C=C3)C5=CC=CC=C5S(=O)(=O)[O-].[Na+].[Na+],C37H34N2Na2O9S3,792.9,-0.036,"0,100;",3844-45-9,DTXSID2020189
"N-[3-(Dimethylamino)propyl]-N,N,N-trimethylpropane-1,3-diamine",CN(C)CCCN(C)CCCN(C)C,C11H27N3,201.35,0.485,"44.05057,26.48;115.12407,49.93;30.03492,33.54;97.07712,67.38;99.09277,100;101.10842,19.39;113.10842,47.24;127.12407,20.02",3855-32-1,DTXSID1044564
Fenpropathrin,CC1(C(C1(C)C)C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)C,C22H23NO3,349.4,3.628,"197.0608,50.8505154639175;0.010834,0.00473419243986254;81.07097,100;97.10227,83.0326460481099;123.08154,18.7113402061856;146.02475,55.1116838487972;222.05605,47.7491408934708;224.0717,21.5463917525773;80.01419,6.51202749140893;93.03459,35.6701030927835;109.06589,14.3298969072165;117.03459,6.34020618556701;296.12922,11.6494845360825;298.14487,7.35395189003436",39515-41-8,DTXSID0024002
UK-416244 pharma,CC1=C(C=CC(=C1)OC2=C(C=C(C=C2)S(=O)(=O)N)CN(C)C)SC,C17H22N2O3S2,366.5,0.739,"46.99609,100;77.96552,94.9198100528626;79.98117,90.5384822148553;153.03796,33.2228294955649;186.02304,3.08216109667593;191.05361,3.13591972045516;234.09581,10.6083684257683;258.09581,3.38679329809157;260.11146,5.50129916674133;262.12711,3.05528178478631;276.06999,3.14487949108503;286.12711,3.61078756383837;319.11219,5.34002329540364;322.05771,25.9295762028492;44.98044,14.9359376399964;66.03492,23.5193979034137;68.05057,55.873129647881;103.98117,8.26090852074187;137.00666,33.428904220052;177.03796,49.7446465370487;188.10809,7.93835677806648;203.05361,14.7746617686587;213.03394,26.0102141385181;214.12374,7.92939700743661;215.05361,19.2635068542245;217.06926,34.9879043096497;253.06524,33.0973927067467;255.08089,14.2818743840158;262.05434,10.9309201684437;292.01076,9.47047755577457;303.08089,67.619388943643;305.09654,21.2436161634262;306.02641,8.58346026341726;308.04206,8.01899471373533;349.06861,9.85574769285906;363.08426,19.5412597437506",402910-27-4,DTXSID0047290
Pendimethalin,CCC(CC)NC1=C(C=C(C(=C1[N+](=O)[O-])C)C)[N+](=O)[O-],C13H19N3O4,281.31,5.109,"0,100;",40487-42-1,DTXSID7024245
Isophorone diisocyanate,CC1(CC(CC(C1)(C)CN=C=O)N=C=O)C,C12H18N2O2,222.28,5.964,"193.13464,55.175;41.99854,100;165.13972,16.205;56.01419,3.255;68.05057,2.765;96.04549,3.48;162.09244,8.335;178.12374,3.67;191.11899,2.22",4098-71-9,DTXSID0023826
Profenofos,CCCSP(=O)(OCC)OC1=C(C=C(C=C1)Br)Cl,C11H15BrClO3PS,373.63,3.546,"294.89319,26.6599597585513;73.01174,7.7576570534317;75.02739,26.5146434160519;90.99544,33.7860496311201;106.99035,36.7203219315895;138.96243,8.39481332439079;204.90613,100;252.88263,9.69707131678963;266.86189,22.5240330874134;268.87754,8.19360608093002;296.90884,9.93181310082718;300.84961,10.4851330203443;302.95579,13.2126089872569;326.86527,19.9474625530964;328.88092,17.7118265146434;68.98044,7.7576570534317;70.99609,16.0965794768612;78.91889,3.86206125642745;88.97979,11.0440420299575;136.98316,13.9950816007154",41198-08-7,DTXSID3032464
Methyldopa sesquihydrate,CC(CC1=CC(=C(C=C1)O)O)(C(=O)O)N,C10H13NO4,211.08,-2.988,"123.04515,46.0425737784228;149.0608,100;166.08735,32.7672955974843;42.03492,10.9724238026125;56.05057,1.48040638606676;109.0295,48.3792936623125;121.0295,5.10401548137397;150.05605,5.29269472665699",41372-08-1,DTXSID5020863
"4,4'-Sulfonylbis[2-(prop-2-en-1-yl)phenol]",C=CCC1=C(C=CC(=C1)S(=O)(=O)C2=CC(=C(C=C2)O)CC=C)O,C18H18O4S,330.4,2.406,"131.05024,45.38;197.02779,23.48;285.05909,44.18;289.054,8.63;299.03835,7.39;303.06965,11.35;311.07474,12.3;327.06965,64.47;41.00329,23.23;55.01894,16.8;65.03967,22.64;105.03459,23.79;107.05024,100;115.05532,18.61;133.06589,77.89;141.00157,20.83;143.01722,22.14;168.99649,17.21;209.02779,37.5;211.04344,35.61;219.01214,20.55;221.02779,39.49;235.04344,24.13;247.04344,60.84;249.0227,20.62;249.05909,47.68;257.02779,31.81;259.04344,95;261.05909,25.75;263.03835,72.02;265.054,34.39;273.05909,50.5;275.07474,35.77;297.05909,25.23;313.054,18.33",41481-66-7,DTXSID9047598
Sulfluramid,CCNS(=O)(=O)C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,C10H6F17NO2S,527.2,7.01,"482.9353,100",4151-50-2,DTXSID1032646
(E)-Anethole,CC=CC1=CC=C(C=C1)OC,C10H12O,148.2,2.646,"121.06589,6.14719348821435;115.05532,5.79955909784636;131.05024,100;49.00837,6.52874342886213;63.02402,26.3523825674072;73.00837,9.66593182974394;75.02402,15.1432931999322;77.03967,8.30930981855181;89.03967,9.2250296761065;103.05532,7.87688655248431;105.03459,51.1616075970833;129.03459,26.7339325080549",4180-23-8,DTXSID9020087
Cyanamide,C(#N)N,CH2N2,42.04,-0.565,"0,100;",420-04-2,DTXSID9034490
Isazofos,CCOP(=S)(OCC)OC1=NN(C(=N1)Cl)C(C)C,C9H17ClN3O3PS,313.74,3.74,"138.96243,97.4688695369089;142.01775,28.1435663709612;34.9694,89.9324489297632;106.9726,31.9850248229836;122.96751,100;140.97808,36.5264100268577;169.00938,20.8187515260031;237.96124,7.84569056726621;253.95615,8.62700415072841;255.9718,7.81313583462196;265.99254,9.07463172458696;268.00819,7.78871978513876;281.98745,28.3877268657931;284.0031,40.8887442011882;124.98316,6.29120208350289;149.97841,5.3471148368194;150.96243,3.78448766989501;163.95767,10.7593391389273;165.97332,11.7034263856108",42509-80-8,DTXSID7034676
Oxyfluorfen,CCOC1=C(C=CC(=C1)OC2=C(C=C(C=C2)C(F)(F)F)Cl)[N+](=O)[O-],C15H11ClF3NO4,361.7,4.078,"0,100;",42874-03-3,DTXSID7024241
Cladribine,C1C(C(OC1N2C=NC3=C(N=C(N=C32)Cl)N)CO)O,C10H12ClN5O3,285.69,-0.82,"132.03157,100;168.00825,74.4368724964886;34.9694,12.334183009936;134.04722,6.20090516568694;165.9926,7.12687925922072;194.0239,2.41897726681579;41.01452,4.26052125058524;105.02067,6.6222753992613;107.03632,5.39978151173074;140.99735,3.85995942360714;223.08366,4.02642667637726",4291-63-8,DTXSID8022828
Triadimefon,CC(C)(C)C(=O)C(N1C=NC=N1)OC2=CC=C(C=C2)Cl,C14H16ClN3O2,293.75,1.797,"68.02542,100;126.99562,2.91666666666667",43121-43-3,DTXSID3023897
Difenzoquat metilsulfate,CN1C(=CC(=[N+]1C)C2=CC=CC=C2)C3=CC=CC=C3,C17H17N2,249.33,0.665,"0,100;",43222-48-6,DTXSID6024048
SAR150640 pharma  free base,CCOC(=O)C1=CC=C(C=C1)[C@H]1CC[C@@H](CC1)NC[C@H](O)COC1=CC=C(O)C(NS(C)(=O)=O)=C1,C25H34N2O7S,506.6,2.778,"487.19083,10.8202585155678;76.97027,35.7369319567515;78.98592,100;93.99682,14.6085684090724;122.02475,72.9940655231282;124.0404,74.6362084383383;186.02304,3.69888626940899;200.0023,12.0478009917893;202.01795,97.6505975123974;208.0649,3.86960409722787;246.14995,3.58507438419641;302.17617,3.75579221201528;320.18673,4.69067555483294;433.18027,6.64173644419153;435.19592,2.75587350621901;459.15953,5.87757092919275;461.17518,4.69880497520527;475.15445,8.51150312982684;477.1701,6.04828875701162;489.1701,4.59312251036501;503.18575,6.64986586456386;107.01385,22.2177058775709;117.99682,7.44654906105195;126.05605,10.1129989431754;216.13939,9.3569628485489;260.12922,7.08072514429721",433212-41-0,DTXSID4047389
Monomethyl phthalate,COC(=O)C1=CC=CC=C1C(=O)O,C9H8O4,180.16,0.625,"135.04515,68.9;77.03967,100;51.02402,5.19;105.03459,4.08",4376-18-5,DTXSID9040001
Mono(2-ethylhexyl) phthalate,CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)O,C16H22O4,278.34,3.979,"121.0295,69.0537479406919;129.12849,5.7918039538715;233.1547,28.0992586490939;77.03967,100;105.03459,8.83443163097199;111.11792,3.51112026359143;127.07645,7.91289126853377;165.01933,8.30415980230642;203.10775,13.086902800659;205.1234,10.7289950576606;44.9982,3.98476112026359;79.05532,4.39662273476112;81.07097,1.9666392092257;101.09719,2.22405271828666;123.04515,2.8830313014827;125.09719,1.51873970345964;127.11284,2.03356672158155;189.0921,3.3669686985173;191.10775,1.93574958813839;217.1234,3.61923393739703",4376-20-9,DTXSID2025680
Nelivaptan,CN(C)C(=O)C1CC(CN1C2(C3=C(C=CC(=C3)Cl)N(C2=O)S(=O)(=O)C4=C(C=C(C=C4)OC)OC)C5=CC=CC=C5OC)O,C30H32ClN3O8S,630.1,0.483,"583.09474,30.0271522121067;56.01419,8.79518713730501;72.04549,9.53521801629133;84.04549,19.7944950220944;107.05024,30.5755204173987;137.0608,10.2060373742214;139.08769,13.4376830112336;419.04739,14.8006175797264;447.04231,10.9673641058404;449.05796,19.4377894904967;451.07361,8.41186178991641;472.07394,5.65937283713997;474.08959,21.7856572432519;477.05287,7.02230740563275;504.10016,10.8236171005697;506.07942,12.1439599637971;525.08926,19.1822392589043;539.10491,13.1501890006921;541.08417,100;543.09982,15.093435553426;555.09982,23.494649417026;557.11547,14.3693765639142;567.06344,7.75169035830272;567.09982,5.59548527924187;569.07909,13.5867539796625;570.11072,17.6276420167172;584.12637,30.463717191077;594.11072,14.5024756428686;610.14202,22.3446733748602;612.12129,8.47574934781451;34.9694,11.6967470585104;44.05057,6.69222168982591;53.00329,10.9620401426822;55.01894,13.9168396954693;63.02402,14.4758558270777;77.03967,13.5707820901879;93.03459,19.1769152957462;187.00705,8.11371985305862;355.08549,14.5557152744503;456.03141,9.35952723207155;475.07361,12.2397913006442;485.05796,7.23526593195975;513.08926,7.29382952669968;554.11581,9.38614704786243;558.11072,8.85375073204493;572.12637,15.1945908534313;580.13146,8.06048022147687;600.15767,7.31512537933238;626.13694,53.2396315817495;0.001762,0.000847681414044615",439687-69-1,DTXSID7047358
"(2-ethyl-4-{[(4-{[4-(4-methoxyphenyl)piperazin-1-yl]methyl}-2-[4-(trifluoromethyl)phenyl]-1,3-thiazol-5-yl)methyl]sulfanyl}phenoxy)acetic acid",CCC1=C(C=CC(=C1)SCC2=C(N=C(S2)C3=CC=C(C=C3)C(F)(F)F)CN4CCN(CC4)C5=CC=C(C=C5)OC)OCC(=O)O,C33H34F3N3O4S2,657.8,3.952,"75.00877,97.8006440970859;151.02231,100;211.04344,41.0886811719425;432.13629,6.59021286623203;444.13629,9.59076270520776;446.15194,1.90872673002906;478.12401,43.9007147906684;550.1604,2.19935590291415;580.17096,2.14437200534129;622.19929,10.1170371534051;624.16079,5.58479302489985;638.17644,3.00840468148614;59.01385,87.7307359987432;135.02739,71.1570183017831;137.04304,45.08679600974;149.00666,12.3399575838504;165.03796,9.30013353232268;446.0978,6.70018066137774;462.09271,11.0124891995915;476.10836,7.03793888932527;533.11859,8.98593983190637;535.13424,6.90440656664834;582.18661,5.78901893017045;626.14006,13.9973293535465;628.15571,11.6801508129762;630.17136,17.0057340350326;41.00329,4.48511507344278;44.9982,5.08208310423376;56.9982,6.83371298405467;133.01174,4.9171314115152;146.99101,3.487550074621;159.09277,3.11051763412144;175.08769,3.98240515277669;205.13464,3.04767889403817;228.01003,4.72076034875501;392.03961,6.73945487392978;400.11008,3.19692090173592;406.05526,3.487550074621;430.12064,5.8361479852329;451.1697,3.16550153169429;566.15531,5.5376639698374;576.16079,4.12379231796402;640.15571,5.86756735527453;654.17136,6.40169664598225",444610-91-7,NA
Cyclopamine,CC1CC2C(C(C3(O2)CCC4C5CC=C6CC(CCC6(C5CC4=C3C)C)O)C)NC1,C27H41NO2,411.6,3.646,"392.29589,55.4032357663332;94.06622,6.60738545140175;112.07679,10.5965172286032;138.09244,8.11411633938496;140.10809,48.5858960108682;161.09719,5.49586266518464;175.11284,5.84166975422996;232.17069,9.89255279733235;234.18634,10.8188217858466;269.19109,12.33790292701;295.20674,8.21291836482648;297.22239,20.4026182536742;339.23295,8.65752747931333;376.26459,10.1025071013956;394.27515,25.3303692725701;408.2908,100",4449-51-8,DTXSID6043709
"(2R)-2-{4-[({[2-(1,3-benzodioxol-5-yloxy)pyridin-3-yl]carbonyl}amino)methyl]-3-fluorophenoxy}propanoic acid",CC(C(=O)O)OC1=CC(=C(C=C1)CNC(=O)C2=C(N=CC=C2)OC3=CC4=C(C=C3)OCO4)F,C23H19FN2O7,454.4,1.227,"137.02442,79.3007712082262;214.05097,100;271.07243,6.51928020565553;361.083,21.3007712082262;379.07357,9.80976863753213;381.08922,58.0976863753213;389.1143,44.1542416452442;398.06815,3.24421593830334;400.0838,6.2879177377892;402.09945,17.5424164524422;409.12052,25.0179948586118;451.0947,12.0771208226221;41.99854,29.6606683804627;43.01894,27.4498714652956;71.01385,15.573264781491;89.02442,16.7249357326478;121.0295,31.7480719794344;138.03607,13.280205655527;139.05647,6.31876606683805;149.04082,6.3598971722365;194.06228,6.81233933161954;257.05678,21.2904884318766;328.06267,20.6478149100257;351.07866,23.146529562982;354.07832,7.58868894601542;356.09397,31.9383033419023;367.07357,21.0899742930591;379.10996,19.4601542416452;392.09397,6.79691516709512;393.08922,6.34447300771208;407.10487,12.0925449871465;0.14208,0.0551876606683805;423.09979,11.4550128534704;425.11544,7.15167095115681;426.09945,8.84318766066838;437.07905,24.8483290488432;93.03459,14.9100257069409;95.01385,2.94087403598972;107.01385,10.2210796915167;109.0295,9.67609254498715;118.02984,5.74293059125964;123.02517,3.48586118251928;162.01967,3.573264781491;166.03098,11.146529562982;186.05605,3.44473007712082;188.03532,10.8174807197943;231.05753,3.68123393316195;242.04588,11.2390745501285;243.05753,10.2210796915167;257.03679,9.66580976863753;259.05244,22.745501285347;311.08374,4.65295629820051;353.05792,3.38817480719794;355.07357,9.74807197943445;365.05792,10.7660668380463",445295-04-5,DTXSID6047282
N-Methyldioctylamine,CCCCCCCCN(C)CCCCCCCC,C17H37N,255.5,7.315,"142.16012,88.8213375171602;252.26967,14.2184742106295;54.03492,20.6118846832712;58.06622,26.6718964502844;96.08187,13.9635222592665;97.10227,14.394979407727;100.11317,25.3383016277702;114.12882,25.1225730535399;124.11317,52.8338889978427;126.12882,100;128.14447,43.4595018631104;138.12882,29.4763679152775;140.14447,61.953324181212;154.16012,17.8858599725436;168.17577,26.8680133359482;182.19142,21.8670327515199;198.22272,14.5910962933909;210.22272,20.5530496175721;224.23837,15.0617768189841;226.25402,20.8864483232006;238.25402,50.6962149441067",4455-26-9,DTXSID9042209
Genistein,C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O,C15H10O5,270.24,1.043,"151.00368,1.58;227.03498,60.59;41.00329,15.25;89.03967,16.58;105.03459,24.21;117.03459,100;133.0295,16.61;135.00877,67.21;199.04007,10.45;201.01933,14.27;201.05572,10.02;241.05063,13.41",446-72-0,DTXSID5022308
Azathioprine,CN1C=NC(=C1SC2=NC=NC3=C2NC=N3)[N+](=O)[O-],C9H7N7O2S,277.27,-0.016,"249.02002,7.21;126.0309,100;53.01452,22.97;97.00435,26.37;98.01218,29.33",446-86-6,DTXSID4020119
Aplaviroc,CCCCN1C(=O)C(NC(=O)C12CCN(CC2)CC3=CC=C(C=C3)OC4=CC=C(C=C4)C(=O)O)C(C5CCCCC5)O,C33H43N3O6,577.7,3.636,"514.30752,100;558.29734,20.9053103007038;0.93318,0.229841117509064;41.99854,53.6468330134357;93.03459,57.0590744295159;111.08154,35.4499893367456;125.09719,24.5148219236511;153.0921,5.92876946043932;155.10775,2.88974194924291;168.103,3.30027724461506;196.09792,26.6847941991896;379.20272,46.9716357432288;381.21837,4.06269993602047;406.14084,40.0618468756664;408.15649,32.0377479206654;418.21362,6.787161441672;420.22927,8.29068031563233;424.22418,2.99104286628279;452.21909,2.73512476007678;474.23983,53.3162721262529;476.25548,8.99445510769887;500.21909,8.2426956707187;502.23474,23.0859458306675;504.25039,24.3708679889102;504.32317,3.11367029217317;506.26604,2.99637449349541;518.22966,5.99808061420345;526.29226,3.32160375346556;530.30243,3.49754745148219;532.31808,11.6656003412241;548.313,4.50522499466837;0.04411,0.022987310727234;67.01894,38.5476647472809;77.03967,44.4817658349328;91.05532,19.2898272552783;93.07097,22.1529110684581;95.08662,18.7300063979527;105.03459,19.5457453614843;107.01385,18.3941138835573;109.0295,42.9942418426104;137.02442,19.7110258050757;183.08154,19.1565365749627;292.16667,23.3525271912988;296.12922,25.554489230113;342.18232,16.106845809341;410.17214,16.9545745361484;434.17214,50.8317338451695;436.18779,23.8003838771593;438.20344,19.2791640008531;459.22893,31.0460652591171;506.30243,32.0164214118149;520.24531,34.5542759650245;550.29226,18.4474301556835;0.30219,0.135306035402005",461443-59-4,NA
SSR240612 free base,CC1CCCC(N1CC2=CC=C(C=C2)CC(C(=O)N(C)C(C)C)NC(=O)CC(C3=CC4=C(C=C3)OCO4)NS(=O)(=O)C5=CC6=C(C=C5)C=C(C=C6)OC)C,C42H52N4O7S,757,3.018,"98.06114,11.343363067501;100.07679,2.49633870323526;112.11317,44.4281720143789;221.02779,19.1053122087605;236.03869,7.56224204500067;328.23944,3.34176541073093;344.27074,3.54812941019838;410.07038,1.60431367327919;624.25377,32.3059512714685;640.24868,100;654.26433,24.1379310344828;656.27998,37.4850219677806;685.27014,3.20197044334975;711.28579,1.79736386632938;723.32218,4.49340966582346;725.33783,2.73598721874584;727.31709,22.9330315537212;739.31709,44.9740380774864;70.06622,5.55185727599521;82.02984,14.8182665424045;96.08187,22.8065503927573;110.09752,23.7718013580083;129.10334,15.9432831846625;157.06589,53.2086273465584;204.99649,23.5521235521236;354.04417,29.6032485687658;370.07547,18.9455465317534;411.06563,9.60591133004926;524.14969,7.13620023964852;626.26942,8.88030888030888;642.26433,19.1252829183864;652.24868,5.72493675941952;668.2436,19.1785381440554;687.28579,7.98828385035282;697.27014,12.6148315803488;725.30144,8.31447210757556;729.33274,9.97869790973239;737.33783,5.57848488882972;753.33274,75.7555585141792;56.01419,12.9809612568233;56.05057,22.1075755558514;58.02984,10.8640660364798;72.08187,11.1902542937026;108.08187,13.0342164824923;202.16012,6.58367727333245;208.11317,8.30781520436693;212.14447,15.290906670217;228.17577,8.45426707495673;256.17069,7.62881107708694;271.18159,10.4446811343363;285.19724,22.5602449740381;368.05982,6.58367727333245;543.15953,7.84183197976301;628.2123,7.61549727066968;0.0003983,0.000222566901877247",465539-70-2,DTXSID2047351
Ilepatril,CC(C)C(C(=O)NC1CC2=CC=CC=C2C3CCCC(N3C1=O)C(=O)O)SC(=O)C,C22H28N2O5S,432.5,1.747,"32.98044,45.6591126715608;41.00329,100;74.99101,79.8276412384296;128.01756,15.5069688264709;389.15405,56.9635067560379;56.98044,10.5968720076604;85.01174,10.4798382806682;87.02739,58.0646877327375;89.04304,32.0725609107352;130.03321,12.5704862219385;132.04886,4.7558250877753;256.09792,13.5865517608256;258.11357,3.39929779763805;273.12447,39.9085009043515;299.10373,29.5456963506756;301.11938,13.0918182785403;385.12275,3.36737950845835;387.1384,14.2089583998298;41.99854,31.4607937014576;44.01419,7.36248537078413;89.00666,8.75625066496436;117.03796,9.05415469730822;199.08769,6.82519416959251;202.08735,15.8687094371742;204.103,7.43696137887009;210.09244,12.9322268326418;212.10809,6.21874667517821;215.0826,7.10181934248324;216.103,14.3898287051814;218.11865,15.996382593893;227.11899,12.7939142461964;229.09825,8.59133950420257;229.13464,6.16554952654538;255.1139,16.9858495584637;269.09317,12.5545270773487;283.10882,11.4852643898287;343.14857,7.39440365996383;403.1697,21.9172252367273",473289-62-2,DTXSID7047356
Myristyl sulfate,CCCCCCCCCCCCCCOS(=O)(=O)O,C14H30O4S,294.45,5.244,"96.9601,100;80.96519,58.6832061068702;84.99649,2.36959287531807;98.97575,3.77703562340967;110.97575,1.86068702290076;135.11792,1.63008905852417;136.9914,1.60623409669211;149.13357,2.3059796437659;171.06965,1.63008905852417;223.10095,1.94020356234097",4754-44-3,DTXSID4042416
N-[4-(benzylamino)-3-cyanoquinolin-2-yl]-4-methoxybenzamide,COC1=CC=C(C=C1)C(=O)NC1=C(C#N)C(NCC2=CC=CC=C2)=C2C=CC=CC2=N1,C25H20N4O2,408.5,1.578,"391.12005,21.6977389924633;77.03967,77.3661245537485;93.03459,30.3133677112257;107.05024,100;119.01385,5.80721935739786;299.09383,69.1392304641015;301.10948,10.0198333994447;302.0935,3.83974613248711;329.1044,3.41927806426021;375.12513,18.4450614835383;377.1044,7.02895676318921;377.14078,3.64934549781833;0.23324,0.107830226100754;41.99854,29.1471638238794;65.03967,6.53708845696152;91.05532,6.95755652518842;117.04582,8.57596191987307;153.04582,14.9147163823879;155.06147,10.0436334787783;161.03565,8.67116223720746;180.05672,19.9127330424435;194.03599,12.0269734232447;195.06762,27.7826259420865;207.09277,27.7826259420865;221.04688,79.3335977786593;223.06253,35.8270527568425;231.09277,13.6453788179294;237.06695,9.56763189210631;246.10367,13.4629115430385;256.08802,13.4232447441491;273.11457,8.08409361364538;285.07818,14.7560491868306;297.07818,34.1848472828243;317.1044,10.7973026576755;337.10948,8.60769535898453;339.12513,7.85402618008727;351.12513,6.98928996429988;361.10948,9.3137643792146",477706-73-3,DTXSID5047374
"(R)-N-(Quinuclidin-3-yl)furo(2,3-C)pyridine-5-carboxamide",C1CN2CCC1C(C2)NC(=O)C3=NC=C4C(=C3)C=CO4,C15H17N3O2,271.31,-0.014,"118.02984,100;41.99854,60.7194057083279;44.01419,7.36999869672879;120.04549,12.5244363352014;125.10842,14.7465137495113;145.04074,17.3856379512577;146.02475,15.2417568095921;151.08769,8.40609930926626;226.09859,10.8953473217777;240.11424,3.75993744298188;242.12989,3.57096311742474;41.00329,3.51883226899518;67.01894,14.7921282418871;68.01419,7.00508275772188;78.03492,4.31382770754594;94.02984,4.69829271471393;104.05057,10.6477257917373;108.08187,4.52886745731787;119.06147,4.05968982145184;120.0091,3.89026456405578;122.06114,8.04118337025935;123.09277,5.96898214518441;144.0091,5.70832790303662;161.07204,3.43411964029715;175.08769,3.864199139841;252.11424,3.68174117033755;254.0935,5.64968069855337;268.10915,35.1883226899518",478149-53-0,DTXSID6047284
9-Phenanthrol,C1=CC=C2C(=C1)C=C(C3=CC=CC=C23)O,C14H10O,194.23,3.019,"167.05024,0.328407224958949;1.013e-05,4.72052545155993e-05;0.0076694,0.0514515599343186;143.05024,100;0.20476,0.853448275862069",484-17-3,DTXSID9047592
Cotinine,CN1C(CCC1=O)C2=CN=CC=C2,C10H12N2O,176.21,-0.465,"157.07712,12.7581612258494;0.016863,0.00431185876082612;78.03492,41.4923384410393;120.08187,3.89740173217855;147.09277,13.4576948700866;159.05639,4.18387741505663;173.07204,100;0.31344,0.172598267821452;66.03492,2.49167221852099;92.05057,17.1818787475017;118.06622,4.39706862091939;119.06147,4.07061958694204;122.06114,3.61758827448368;145.07712,2.70486342438374",486-56-6,DTXSID1047576
"1,5,9-Cyclododecatriene",C1CC=CCCC=CCCC=C1,C12H18,162.27,5.28,"159.11792,100",4904-61-4,DTXSID8027581
Fenofibrate,CC(C)OC(=O)C(C)(C)OC1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)Cl,C20H21ClO4,360.8,3.039,"231.02183,100;273.06878,9.52666666666667;34.9694,18.56;57.03459,17.1166666666667;93.03459,18.2466666666667;202.99053,7.61;205.00618,16.11;215.02692,9.29333333333333;233.03748,2.46666666666667;257.03748,4.93333333333333;271.05313,2.42333333333333;41.00329,3.22;119.01385,6.93666666666667;145.0295,5.19666666666667;189.01127,3.30666666666667;201.01127,3.27",49562-28-9,DTXSID2029874
